Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SNY,Sanofi ADS,$48.19,0.62,1.303%,120977990546.00,France,,1877599,Health Care,Biotechnology: Pharmaceutical Preparations
SOHU,Sohu.com Limited American Depositary Shares,$16.485,-0.385,-2.282%,647964735.00,China,,350184,Technology,EDP Services
SOL,Renesola Ltd. American Depsitary Shares (Each representing 10 shares),$6.54,-0.36,-5.217%,456154582.00,China,2008,1170821,Technology,Semiconductors
SONY,Sony Group Corporation American Depositary Shares ,$120.31,-1.54,-1.264%,149216164487.00,Japan,,394500,Consumer Non-Durables,Consumer Electronics/Appliances
SOPH,SOPHiA GENETICS SA Ordinary Shares,$13.10,-0.88,-6.295%,836534481.00,Switzerland,2021,63429,,
SPCB,SuperCom Ltd. Ordinary Shares (Israel),$0.665,-0.0229,-3.329%,10830153.00,Israel,,121815,Technology,Semiconductors
SPI,SPI Energy Co. Ltd. Ordinary Shares,$4.8009,-0.4491,-8.554%,114564184.00,China,,619464,Technology,Semiconductors
SPK,SPK Acquisition Corp. Common Stock,$9.90,0.00,0.00%,65303123.00,China,2021,22,,
SPOT,Spotify Technology S.A. Ordinary Shares,$225.13,-13.37,-5.606%,43124647025.00,Luxembourg,2018,1177026,Consumer Services,Broadcasting
SQNS,Sequans Communications S.A. American Depositary Shares,$5.09,-0.30,-5.566%,190714991.00,France,2011,74029,Technology,Semiconductors
SRAD,Sportradar Group AG Class A Ordinary Shares,$15.56,-0.55,-3.414%,4600153685.00,Switzerland,2021,1079994,,
SSL,Sasol Ltd. American Depositary Shares,$16.545,0.265,1.628%,10512612029.00,South Africa,,583703,Energy,Oil & Gas Production
ST,Sensata Technologies Holding plc Ordinary Shares,$55.58,-0.12,-0.215%,8807922170.00,Netherlands,2010,721598,Capital Goods,Industrial Machinery/Components
STLA,Stellantis N.V. Common Shares,$17.84,0.71,4.145%,55885916805.00,United Kingdom,2014,4499703,Capital Goods,Auto Manufacturing
STM,STMicroelectronics N.V. Common Stock,$49.92,1.38,2.843%,45266240947.00,Switzerland,,1852138,Technology,Semiconductors
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$104.38,1.71,1.666%,23238739939.00,Ireland,2002,2497083,Technology,Electronic Components
SVFD,Save Foods Inc. Common Stock,$5.86,-0.41,-6.539%,16446301.00,Israel,,10464,,
SXTC,China SXT Pharmaceuticals Inc. Ordinary Shares,$0.69,-0.0165,-2.335%,12774933.00,China,2019,141876,Health Care,Biotechnology: Pharmaceutical Preparations
SY,So-Young International Inc. American Depository Shares,$3.43,-0.20,-5.51%,359656584.00,China,2019,967294,Technology,Computer Software: Prepackaged Software
TAL,TAL Education Group American Depositary Shares,$5.015,-0.165,-3.185%,3234078044.00,China,,10639926,Miscellaneous,Other Consumer Services
TANH,Tantech Holdings Ltd. Common Stock,$0.9452,-0.0447,-4.516%,27305726.00,China,2015,569740,,
TAOP,Taoping Inc. Ordinary Shares ,$2.9027,-0.0973,-3.243%,44871693.00,Hong Kong,,21622,Technology,Computer Software: Prepackaged Software
TARO,Taro Pharmaceutical Industries Ltd. Ordinary Shares,$53.555,0.315,0.592%,2012858838.00,Israel,,10695,Health Care,Biotechnology: Pharmaceutical Preparations
